Cities,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Latitude,Longitude
nosy varika,29.92,79,75,0.62,BR,-4.33,-45.17
nizhnyaya tavda,23.61,85,80,1.41,MG,-20.58,48.53
souillac,25.91,85,100,1.99,ID,-3.8,102.27
ariquemes,24.0,94,20,1.5,MU,-20.52,57.52
camacha,24.34,79,100,3.48,BR,-9.91,-63.04
mar del plata,14.75,71,31,5.81,AU,-34.73,135.87
cagayan de tawi-tawi,17.09,51,0,5.7,AR,-38.0,-57.56
palu,17.04,48,75,2.07,ZW,-17.37,30.2
malaya vishera,25.51,81,100,1.42,ID,-0.89,119.87
mys shmidta,26.68,88,84,2.31,GA,-3.43,10.66
odienne,26.0,100,90,1.5,BR,-7.74,-72.65
broken hill,17.01,49,2,1.67,BR,-24.79,-50.01
umzimvubu,13.0,50,0,3.08,AU,-31.95,141.43
poshekhonye,14.0,87,75,3.6,AU,-28.77,114.6
villaviciosa,21.0,73,11,1,AU,-20.32,118.57
sabha,26.58,73,68,1.13,CD,-3.02,16.9
hasaki,21.6,79,100,14.56,NC,-22.67,167.48
tena,19.0,68,0,6.7,NA,-26.65,15.16
longyearbyen,23.0,100,90,2.6,EC,-0.98,-77.82
ilulissat,26.15,85,28,3.25,ID,-6.88,112.21
quatre cocos,29.61,14,0,3.24,CL,-31.63,-71.17
turukhansk,23.94,94,20,1.5,MU,-20.21,57.76
ajdabiya,21.5,81,75,2.6,BR,-22.92,-42.51
kruisfontein,16.83,67,100,4.92,CL,-37.62,-73.65
surovikino,17.56,66,100,1.59,ZA,-34.0,24.73
koumac,28.37,72,100,3.87,BR,-8.9,-35.15
lorengau,21.17,79,40,7.1,NC,-20.57,164.28
morgan city,27.38,79,36,1.95,PG,-2.02,147.27
platon sanchez,20.0,94,75,3.1,BR,-21.64,-41.05
buin,18.83,31,2,3.73,AR,-33.3,-66.34
nemuro,26.88,12,0,1.5,CL,-33.73,-70.75
hamilton,23.95,65,43,1.84,MG,-16.78,47.65
cuamba,30.1,50,63,1.29,BR,-15.48,-44.37
yunjinghong,18.8,77,12,3.39,MZ,-14.8,36.54
sringeri,15.26,82,100,3.1,CL,-41.87,-73.82
meyungs,25.0,65,20,3.1,PF,-17.73,-149.15
pangnirtung,13.31,82,77,5.36,AU,-41.07,145.92
porto nacional,9.45,100,90,0.85,AR,-41.15,-71.31
conde,31.0,55,40,2.6,BR,-10.71,-48.42
dakoro,30.0,70,20,5.1,BR,-7.26,-34.91
nikolskoye,20.0,38,0,0.89,AR,-32.63,-62.69
nanchang,22.98,83,90,2.1,RE,-21.34,55.48
tual,22.0,68,20,2.1,MZ,-23.86,35.38
mayor pablo lagerenza,28.28,79,7,8.51,ID,-5.67,132.75
mount gambier,22.55,29,100,3.69,PY,-19.93,-60.77
nakamura,11.0,100,75,4.6,AU,-37.83,140.77
galesong,25.52,87,92,2.23,PG,-6.22,149.55
cockburn town,25.0,100,90,1.5,ID,-5.32,119.37
tupik,19.53,32,67,7.31,AR,-40.81,-63.0
alekseyevka,17.4,70,60,5.61,BR,-30.18,-50.21
los llanos de aridane,24.95,98,97,0.89,ID,-2.53,112.95
seybaplaya,27.0,83,75,2.6,TZ,-6.43,39.55
straumen,13.01,82,2,4.1,NZ,-41.41,175.52
shingu,23.36,64,75,1.5,BR,-16.25,-47.95
agua buena,11.12,93,33,4.32,AU,-38.27,141.97
talaya,26.63,86,0,2.13,AO,-11.21,13.84
tumannyy,26.68,79,20,6.31,KM,-11.7,43.26
katangli,13.0,26,0,2.1,AU,-23.7,133.88
srednekolymsk,15.0,71,40,2.6,AU,-34.57,146.4
kushima,28.99,84,78,1.3,BR,-3.89,-59.09
batyrevo,26.15,65,81,1.63,BR,-15.62,-46.42
krutinka,28.0,83,40,8.2,YT,-12.9,45.08
thuin,21.53,77,100,3.6,PE,-13.7,-76.22
sept-iles,13.0,43,0,2.1,AU,-25.24,130.99
kavieng,19.31,35,0,1.67,BW,-18.37,21.85
belaya gora,27.98,75,9,3.78,PG,-2.57,150.8
flinders,22.0,100,90,4.34,AU,-13.85,136.42
biak,17.07,83,33,3.13,AU,-34.58,150.86
kalabo,25.73,82,15,0.43,ID,-0.91,122.88
booue,19.75,54,1,1.76,ZM,-14.97,22.68
bubaque,25.46,86,89,1.07,GA,-0.09,11.94
el olivar,21.0,18,0,2.1,ZA,-28.45,21.26
karratha,20.76,92,100,9.82,NC,-21.55,167.88
whitehorse,21.38,82,43,1.3,AU,-20.74,116.85
gat,18.67,85,0,1.86,MG,-25.17,45.05
coxim,23.07,91,23,1.62,CD,-6.05,26.92
ust-kut,23.83,47,81,2.16,BR,-18.51,-54.76
the valley,19.31,44,60,1.15,NA,-28.55,16.43
manoel urbano,20.91,84,45,3.7,AU,-17.53,146.03
satitoa,22.44,87,100,1.57,BR,-8.84,-69.26
dhidhdhoo,29.92,60,38,3.05,BR,-17.71,-39.25
evensk,23.0,73,20,5.7,PE,-7.84,-79.15
avera,19.94,59,28,1.97,CL,-25.4,-70.48
toliary,28.16,74,99,3.84,BR,-9.01,-35.22
ambala,23.56,29,73,4.1,BR,-20.44,-53.76
riyadh,15.15,91,12,3.45,AU,-22.0,148.05
araguatins,34.0,46,54,3.1,BR,-8.26,-49.26
domingos martins,10.62,47,6,0.92,LS,-29.82,27.24
nhulunbuy,22.33,73,75,7.2,BR,-20.36,-40.66
tawnat,24.0,83,40,2.6,AU,-12.23,136.77
swellendam,24.42,83,90,2.1,RE,-21.37,55.62
araouane,16.0,87,100,1,ZA,-34.02,20.44
balykshi,12.5,77,0,1.83,ZA,-27.98,30.72
ormara,12.19,50,69,2.34,ZA,-31.33,27.85
coahuayana,27.39,60,80,1.8,BR,-15.92,-46.11
garmisch-partenkirchen,15.18,80,19,2.09,ZM,-11.83,31.45
