Cities,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Latitude,Longitude
ruatoria,13.43,30,0,4.19,CN,42.8,93.45
coquimbo,19.0,82,40,5.7,PT,37.72,-25.43
sioux lookout,9.82,43,1,5.1,US,61.58,-149.44
isangel,-1.0,50,75,6.2,CA,50.1,-91.92
bageshwar,14.5,81,39,2.2,RU,56.55,76.63
necochea,15.19,69,49,1.14,IN,29.85,79.77
paamiut,16.09,35,0,2.1,RU,55.07,67.9
andevoranto,3.84,81,44,1.76,GL,61.99,-49.67
cabedelo,7.55,63,6,4.98,BY,52.8,28.0
carnarvon,-9.0,85,90,4.1,CA,69.45,-133.04
gornopravdinsk,18.31,36,1,3.6,US,33.82,-78.68
grand gaube,15.24,57,63,2.18,RU,60.05,69.9
faanui,28.21,72,85,5.47,GF,5.66,-53.78
tocopilla,23.43,74,2,1.02,IN,27.57,95.57
qaanaaq,12.0,46,1,7.2,CA,50.1,-108.48
clyde river,-8.54,88,100,1.78,GL,77.48,-69.36
torbay,-9.0,78,5,1,CA,70.47,-68.59
baykit,8.56,61,75,3.1,CA,47.67,-52.73
tabou,1.07,90,30,1.73,RU,61.67,96.37
namanyere,28.59,75,80,3.6,CI,4.42,-7.35
taoudenni,29.0,66,40,3.35,MX,19.22,-104.7
dingle,42.65,9,80,3.27,ML,22.68,-3.98
chuy,26.49,83,14,1.99,PH,11.0,122.67
hinton,5.84,84,0,1.69,JP,41.82,140.65
alofi,6.46,83,100,1.42,CA,53.4,-117.59
taos,29.61,71,48,5.17,SO,5.35,48.53
tasiilaq,19.44,12,1,9.3,US,36.41,-105.57
yelan-koleno,4.0,51,40,7.7,GL,65.61,-37.64
tuatapere,14.23,80,100,2.26,RU,51.15,41.23
biggar,26.38,39,5,3.6,MX,22.89,-109.91
avarua,16.97,59,86,5.1,GB,55.62,-3.52
coos bay,-4.0,68,75,3.1,CA,55.74,-97.86
madingou,15.71,54,1,1.5,US,43.37,-124.22
garden city,30.0,84,40,2.1,GQ,3.46,8.55
dodge city,17.86,25,40,12.9,US,42.33,-83.33
starup,18.04,52,40,13.9,US,37.75,-100.02
luanda,9.78,76,75,7.2,DK,55.24,9.54
nanortalik,30.14,56,61,3.13,PR,17.97,-66.91
wonthaggi,5.09,78,66,0.32,GL,60.14,-45.24
byron bay,15.56,45,54,0.89,GR,37.94,22.96
cherskiy,21.83,57,1,5.1,PT,38.44,-9.1
porto novo,-3.11,92,80,1.31,RU,68.75,161.3
mahebourg,31.0,79,40,6.2,BJ,6.5,2.6
mizdah,10.14,46,1,3.1,US,64.84,-147.72
paka,27.85,27,4,7.36,LY,31.45,12.98
esperantinopolis,25.78,100,79,0.86,MY,4.64,103.44
awjilah,29.23,77,23,4.91,PH,11.14,123.72
maningrida,26.78,14,45,1.42,LY,29.11,21.29
attawapiskat,11.18,61,52,2.12,UA,48.86,36.56
sao filipe,20.0,82,90,1,MA,35.17,-2.93
sitka,24.35,72,9,7.4,CV,14.9,-24.5
saskylakh,12.0,50,20,6.7,US,57.05,-135.33
luganville,-15.95,93,99,2.77,RU,71.92,114.08
airai,37.0,14,0,1.5,NG,12.0,8.52
plettenberg bay,28.68,76,30,3.41,PH,5.4,125.46
blythe,5.0,30,75,5.7,CA,48.4,-89.32
nguiu,33.66,16,1,4.1,US,33.61,-114.6
mildura,16.5,86,75,9.69,PT,39.05,-27.98
kuryk,18.24,74,0,4.02,TR,36.08,32.84
port pirie,17.12,73,34,2.63,KZ,43.2,51.65
garowe,0.91,91,100,4.64,RU,50.68,156.12
andselv,29.96,50,82,2.48,SO,8.41,48.48
meadow lake,13.26,50,100,3.1,RU,47.94,132.62
pangody,27.18,10,40,4.1,US,34.8,-106.54
lompoc,1.6,88,67,5.32,RU,65.85,74.49
vestmannaeyjar,24.76,41,1,3.1,US,34.64,-120.46
bilibino,8.0,70,14,9.3,IS,63.44,-20.27
moengo,-7.72,90,0,1.04,RU,68.05,166.44
kota bahru,30.49,61,96,2.98,SR,5.62,-54.4
padang,26.83,94,20,2.06,MY,6.13,102.24
high rock,16.98,41,0,3.59,RU,57.67,66.17
ponta do sol,27.0,65,75,8.2,BS,26.62,-78.28
aklavik,17.96,72,75,2.6,PT,32.67,-17.1
visby,-5.0,92,40,4.1,CA,68.22,-135.01
bengkulu,9.9,60,44,1.5,SE,57.64,18.3
stratham,21.0,60,20,2.6,PT,33.08,-16.33
abong mbang,16.44,17,75,5.7,US,43.02,-70.91
tongchuan,21.26,97,88,2.2,CM,3.98,13.18
svetlyy,14.61,90,100,1.18,CN,35.08,109.09
port lincoln,10.0,57,4,4,RU,54.67,20.13
chinhoyi,-6.89,91,80,3.45,GL,72.79,-56.15
zhangye,6.18,63,100,2.48,RU,58.85,32.22
samoylovka,7.33,67,91,3.01,CN,38.93,100.45
kuytun,17.22,77,100,1.34,RU,51.18,43.71
naugarzan,4.37,85,76,5.81,RU,54.34,101.5
norman wells,21.0,26,100,4,RU,55.43,51.42
nouakchott,2.0,69,20,4.1,CA,65.28,-126.83
huicheng,26.0,57,0,11.3,MR,18.09,-15.98
mayumba,28.0,88,75,3,CN,23.04,116.29
rawannawi,28.56,75,59,3.1,CO,4.95,-77.37
saint-georges,38.4,10,22,2.15,MX,29.05,-109.23
kologriv,30.0,70,20,9.3,GD,12.06,-61.75
jackson,14.25,90,71,3.41,RU,58.83,44.32
rodrigues alves,14.36,50,1,0.36,US,42.42,-122.83
manhush,32.53,45,17,2.14,CI,9.51,-7.57
himora,12.22,100,78,3.13,UA,47.06,37.31
castro,40.28,8,0,0.35,MR,20.5,-10.07
meulaboh,26.0,94,75,2.6,PW,7.04,134.26
geraldton,26.03,89,100,5.95,ID,4.14,96.13
port hedland,9.51,95,95,1.99,RU,58.5,39.14
doctor pedro p. pena,16.84,84,99,1.34,ES,43.48,-5.44
mushie,3.57,69,1,4.4,GL,66.94,-53.67
vao,29.09,13,11,1.95,LY,27.04,14.43
conop,8.3,93,40,2.1,JP,35.73,140.83
wanxian,17.85,27,90,5.1,RO,46.1,21.88
somerville,23.38,83,8,1.47,CN,30.8,108.39
luderitz,16.15,21,75,3.1,US,42.39,-71.1
labuhan,1.0,64,40,3.6,SJ,78.22,15.64
arman,-0.96,86,0,4.08,GL,69.22,-51.1
krasnoselkup,0.19,90,100,2.88,RU,59.7,150.17
illapel,-1.36,97,100,3.27,RU,65.7,82.47
saquarema,0.56,94,100,1.75,RU,65.82,87.98
hammerfest,25.06,26,80,4.91,LY,30.76,20.23
iqaluit,1.0,100,75,9.8,NO,70.66,23.68
sibu,-1.06,58,75,7.2,CA,63.75,-68.51
skalistyy,25.73,94,75,1,MY,2.3,111.82
flin flon,14.97,79,100,3.26,RU,48.61,42.85
sao jose da coroa grande,3.0,27,20,3.1,CA,54.77,-101.86
marzuq,23.29,46,1,4.1,US,29.7,-91.21
nouna,25.43,52,92,3.34,YE,14.4,46.47
kijang,41.44,8,71,3.23,BF,12.73,-3.87
sao joao da barra,13.0,43,77,3.6,KR,35.24,129.21
san luis,30.06,55,10,2.3,MX,21.28,-98.37
birao,2.99,86,0,5.46,JP,43.32,145.57
maarianhamina,32.24,29,39,0.62,CF,10.28,22.79
ahmadnagar,10.0,39,1,2.1,AX,60.1,19.93
huttwil,28.01,38,32,4.94,IN,19.08,74.73
kitimat,21.08,37,2,1.5,CH,47.12,7.86
dakar,9.0,61,75,2.6,CA,54.05,-128.65
guerrero negro,24.0,78,7,8.2,SN,14.69,-17.44
tsaratanana,26.85,33,0,3.87,MX,27.98,-114.06
xining,18.66,37,75,6.2,US,39.18,-84.53
fort nelson,5.15,79,100,2.38,CN,36.62,101.77
tessalit,11.0,57,75,1.5,CA,58.81,-122.7
januaria,37.05,8,0,3.22,ML,20.2,1.01
tautira,22.09,90,100,0.34,IN,13.42,75.25
nakasongola,-6.0,79,20,2.1,CA,66.15,-65.71
port hardy,20.31,90,100,1.11,UG,1.31,32.46
kargil,8.0,87,75,1,CA,50.7,-127.42
huty,2.66,66,39,1.99,IN,34.57,76.1
san carlos de bariloche,11.06,70,48,2.38,UA,50.13,35.34
erzin,32.52,11,18,2.59,NE,14.51,6.76
bandar-e lengeh,18.33,81,12,2.68,TR,36.96,36.2
tubmanburg,31.0,40,100,5.1,IR,26.56,54.88
arlit,28.59,78,100,1.99,LR,6.87,-10.82
petropavlovsk-kamchatskiy,32.91,9,0,2.87,NE,18.74,7.39
weligama,-2.0,74,2,1,RU,53.05,158.65
solnechnyy,27.02,83,98,2.22,LK,5.97,80.42
puerto carreno,11.51,43,100,2.1,RU,50.72,136.63
denia,32.0,59,40,2.57,CO,6.19,-67.49
kodiak,21.11,79,100,3.31,ES,38.84,0.11
venta,7.0,81,90,14.4,US,57.79,-152.41
shu,12.0,32,72,6.7,LT,56.2,22.7
bell ville,15.56,26,38,2.24,KZ,43.6,73.76
estevan,8.87,53,96,7,RU,59.7,30.79
saint-pierre,9.14,24,20,8.7,CA,49.13,-102.98
karaul,25.04,90,7,1.72,CN,28.68,115.88
havre-saint-pierre,24.68,40,75,2.1,US,37.34,-121.89
oyem,5.0,60,20,5.7,CA,50.23,-63.6
massa marittima,22.1,95,100,1.46,GA,1.6,11.58
margate,21.44,41,0,4.6,IT,43.05,10.89
yerbogachen,16.27,42,71,3.1,GB,51.38,1.39
inhambane,-3.51,92,98,3.39,RU,61.28,108.01
el fuerte,12.25,79,1,1.33,JP,32.98,132.93
russell,35.42,20,16,3.08,MX,26.42,-108.62
myskhako,19.71,32,1,2.96,US,32.35,-85.2
kandrian,11.84,93,93,2,RU,44.67,37.74
santa eulalia del rio,27.79,79,100,4.03,TC,21.46,-71.14
san-pedro,11.0,61,75,4.6,IS,64.25,-15.21
berlevag,28.32,77,71,3.81,CI,4.75,-6.64
nara,4.0,86,75,5.1,NO,70.86,29.09
tubruq,11.72,34,92,1.23,JP,34.69,135.8
viedma,20.53,92,100,1.58,CM,5.6,14.08
coulihaut,0.78,86,13,2.46,RU,54.43,119.93
salym,8.0,20,1,8.7,US,41.53,-109.47
yurty,15.2,58,51,2.06,RU,60.06,71.48
play cu,3.45,95,57,5.86,RU,56.05,97.63
llandrindod wells,13.21,62,73,1.42,RU,50.63,38.69
wilmington,17.21,75,26,1.72,GB,52.24,-3.38
kuche,18.55,36,1,6.7,US,34.23,-77.94
okmulgee,24.46,89,100,0.69,CD,4.28,21.02
sampit,18.0,59,1,4.1,US,35.62,-95.96
amapa,19.03,68,75,3.1,ES,28.66,-17.92
saleaula,25.78,96,99,1.9,BR,1.0,-52.0
vostok,20.8,97,100,0.41,CD,0.52,25.2
bahia honda,6.32,63,100,2.45,RU,46.49,135.88
sokoni,27.84,56,62,6.28,CU,22.9,-83.16
del rio,31.0,52,75,5.1,MX,19.65,-90.67
waipawa,26.15,61,90,8.2,US,29.36,-100.9
half moon bay,6.17,75,75,5.1,NO,63.87,11.3
luziania,20.52,64,5,3.5,US,37.46,-122.43
barrow,11.92,79,13,2.41,JP,33.73,135.98
safaga,-16.0,100,90,5.1,US,71.29,-156.79
veliki preslav,28.0,37,0,2.6,EG,26.73,33.94
vardo,10.89,79,74,1.79,BG,43.17,26.82
kamenskoye,3.0,86,75,8.7,NO,70.37,31.11
olafsvik,37.22,9,0,2.24,NE,13.98,10.27
tiksi,6.16,79,98,3.71,IS,64.89,-23.71
tabuk,-11.96,96,100,4.54,RU,71.69,128.87
codrington,25.02,82,34,0.9,PH,17.42,121.44
laguna,30.0,70,75,3.1,PA,7.82,-80.4
guamo,23.82,20,1,3.6,US,38.42,-121.42
brigantine,28.0,66,99,0.79,CO,4.03,-74.97
umm kaddadah,17.52,29,1,5.1,US,39.41,-74.36
sumbe,31.88,12,18,5.39,SD,13.6,26.69
bernalillo,-6.36,96,100,0.9,RU,61.38,152.75
guilin,26.54,10,40,4.1,US,35.05,-106.67
port alberni,30.0,62,40,6,CN,25.28,110.29
kortkeros,11.8,82,0,0.45,CA,49.24,-124.8
anadyr,17.0,63,20,5,RU,61.81,51.58
moroni,-2.12,86,90,4,RU,64.75,177.48
portland,22.56,39,5,2.27,LY,31.76,25.09
sindor,13.53,58,1,3.26,US,45.52,-122.68
sibolga,13.18,91,92,4.44,RU,62.86,51.89
alice springs,25.29,80,100,1.69,ID,1.74,98.78
wanlaweyn,1.88,86,0,1.13,RU,51.71,143.23
tchollire,26.94,81,97,3.95,SO,2.62,44.89
okhansk,30.72,51,26,1.9,CM,8.4,14.17
ketchikan,20.0,30,100,4,RU,57.72,55.39
x-can,11.0,57,1,6.2,US,55.34,-131.65
leeton,37.64,23,86,1.23,ML,11.09,-6.89
ixtapa,-2.36,97,100,3.07,RU,67.45,153.68
bilma,28.94,62,75,4.1,MX,20.7,-105.2
marsh harbour,32.44,11,0,2.9,NE,18.69,12.92
komsomolskiy,25.02,72,23,8.67,BS,26.54,-77.06
veraval,22.0,40,100,4.1,UZ,40.43,71.72
lokosovo,27.43,87,0,4.67,IN,20.9,70.37
rajaldesar,10.56,66,29,4.13,RU,61.13,74.82
nova olinda do norte,32.63,20,42,3.75,IN,28.03,74.47
cascais,15.56,55,3,2.24,JP,31.46,131.23
paucartambo,20.76,64,20,6.2,PT,38.7,-9.42
eureka,19.49,68,75,3.1,ES,28.68,-17.76
paytug,14.64,81,1,2.1,US,40.8,-124.16
mamallapuram,14.77,93,100,6.07,RU,55.07,47.61
marathon,30.78,74,20,4.1,IN,12.63,80.17
bargal,10.85,20,1,5.1,US,44.9,-89.77
hovd,21.5,77,40,2.6,SA,18.39,42.45
boueni,8.51,44,1,0.77,MN,48.01,91.64
smithers,13.97,46,0,2.8,RU,56.01,71.51
pervomayskiy,9.0,61,20,3.1,CA,54.78,-127.17
virden,14.14,81,98,2.68,RU,53.25,40.29
muros,17.74,56,29,4.92,US,39.5,-89.77
sokol,22.97,61,97,7.6,ES,42.78,-9.06
kandy,8.19,92,87,2.36,RU,59.46,40.12
ternate,22.23,95,100,0.72,LK,7.3,80.64
zalantun,27.91,78,79,1.11,ID,0.8,127.4
phak hai,6.67,70,69,1.34,CN,48.0,122.72
ozernovskiy,27.81,77,34,3.65,TH,14.46,100.37
ambodifototra,-0.4,95,100,2.25,RU,51.5,156.52
yulara,19.43,32,99,2.6,BE,50.34,4.28
axim,6.99,56,75,8.7,CA,50.2,-66.38
ola,28.19,80,34,3.97,GH,4.87,-2.24
kozulka,1.01,87,100,2.1,RU,59.58,151.28
shakawe,11.0,57,69,5,UA,50.04,23.8
thatta,-6.48,96,70,1.78,RU,68.53,146.42
alyangula,28.48,70,16,7.31,PK,24.75,67.92
ust-ilimsk,26.38,72,37,6.9,GW,11.28,-15.83
sorland,2.18,95,100,0.95,RU,58.0,102.66
tyrma,2.0,74,75,3.1,NO,67.67,12.69
simao,9.06,58,100,1.03,RU,50.08,132.17
muisne,20.54,60,1,0.35,CN,22.79,100.97
upington,30.0,79,40,2.6,EC,0.6,-80.03
tadine,29.74,74,75,2.1,HN,15.08,-87.88
beloha,7.98,49,75,5.1,CA,60.72,-135.05
kabalo,19.72,66,0,3.87,IL,31.61,34.76
la ronge,3.73,91,100,1.11,RU,56.79,105.77
sarkand,7.0,45,75,1,CA,55.1,-105.28
oranjemund,13.67,35,93,2.95,KZ,45.41,79.92
konstantinovka,29.76,62,40,6.7,AI,18.22,-63.06
udachnyy,9.9,87,100,3.18,RU,49.62,127.98
jinchengjiang,-10.0,72,92,5,RU,66.42,112.4
voskresenskoye,31.01,55,72,4.21,GY,8.2,-59.78
san cristobal,13.28,84,100,3.43,RU,56.84,45.43
innisfail,36.0,37,40,10.3,VE,7.77,-72.22
tura,7.73,79,95,7.62,FO,61.47,-6.81
caravelas,24.35,45,0,1.94,IN,25.52,90.22
matara,28.18,78,100,0.75,MV,6.88,73.1
mantua,27.01,84,99,2.65,LK,5.95,80.54
chicama,22.74,40,0,0.89,IT,45.17,10.78
tottori,-1.04,92,95,5.96,RU,61.95,159.23
magaria,9.41,72,85,2.21,JP,35.5,134.23
taltal,30.47,13,0,1.05,NE,13.0,8.91
longkou,17.93,31,1,3.1,US,33.19,-82.53
tetiyiv,14.78,71,100,2.41,CN,37.65,120.33
katsuura,7.48,89,100,6.17,UA,49.38,29.66
troitskoye,14.05,71,75,2.6,JP,35.13,140.3
linchuan,12.1,87,98,1.65,RU,52.98,84.68
bireun,26.12,89,29,3.35,CN,22.88,116.07
maragogi,25.07,88,100,2.88,ID,5.2,96.7
serebryanyy bor,2.0,74,75,7.7,NO,69.31,16.12
limay,-1.93,95,84,2.23,RU,56.8,124.8
bobrovka,30.19,74,75,2.6,PH,14.53,120.55
ribas do rio pardo,15.71,39,0,2.86,RU,54.05,61.75
skibbereen,28.21,28,57,2.39,IN,30.38,76.78
along,13.0,87,40,3.6,IE,51.55,-9.27
asau,17.91,80,7,1.17,IN,28.17,94.77
falam,10.56,55,97,1.47,RO,46.43,26.4
kyra,14.8,70,0,1.96,MM,22.92,93.68
nantucket,2.59,75,0,1.14,RU,49.58,111.98
moranbah,10.98,71,20,8.2,US,41.28,-70.1
conceicao do araguaia,30.0,17,100,3.6,SA,24.69,46.72
anloga,18.06,34,100,1.5,KR,37.57,126.98
gualdo tadino,29.0,79,20,5.1,GH,5.79,0.9
revda,17.91,37,0,0.89,IT,43.23,12.78
mafeteng,20.0,30,20,4,RU,56.8,59.93
aybak,1.52,91,81,6.16,RU,68.05,39.51
mondlo,38.66,8,4,0.7,ML,18.9,-3.53
ust-kamchatsk,4.38,64,13,1.46,RU,52.25,117.71
leningradskiy,22.74,90,98,1.1,CF,5.4,26.49
bere,-5.96,85,8,0.96,RU,69.38,178.42
elliot,35.64,31,23,0.83,TD,9.32,16.16
tamiahua,28.38,81,27,5.18,PK,25.21,64.64
asyut,28.63,62,25,2.38,MX,21.27,-97.45
salalah,31.0,23,0,6.2,EG,27.18,31.18
arinos,29.0,83,20,4.1,OM,17.02,54.09
george town,30.0,48,40,3.09,MX,18.73,-103.68
freeport,27.31,94,40,1.5,MY,5.41,100.34
prachuap khiri khan,16.89,25,20,4.6,US,40.66,-73.58
mpika,28.09,77,0,3.18,TH,11.82,99.78
,19.1,32,0,4.6,DE,47.49,11.1
